priority,identifier,change,symbol,series,marketType,lastPrice,totalTradedVolume,open,dayHigh,dayLow,previousClose,totalTradedValue,yearHigh,yearLow,ffmc,lastUpdateTime,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,nearWKH,nearWKL,chart30Path,chart365Path,companyName,pChange
0,TECHMEQN,-21.9,TECHM,EQ,N,1439.7,2553830,1465.0,1476.0,1435.1,1461.6,3691484650.1,1854.0,1304.1,911693896160.67,2026-06-25 16:00:25,0,-14.82,-1.3,26-Jun-2025,26-May-2026,22.346278317152105,-10.397975615366919,,,TECH MAHINDRA LIMITED,-1.5
0,BAJAJ-AUTOEQN,100.0,BAJAJ-AUTO,EQ,N,9850.0,352943,9775.0,9930.0,9769.0,9750.0,3484740357.34,10834.0,7858.5,1088326178169.06,2026-06-25 16:00:25,0,16.8,-7.01,26-Jun-2025,26-May-2026,9.082517998892376,-25.341986384170006,,,BAJAJ AUTO LIMITED,1.03
0,SUNPHARMAEQN,-12.9,SUNPHARMA,EQ,N,1861.5,1816438,1870.0,1887.0,1858.0,1874.4,3395449389.02,1916.6,1548.0,1965444950440.77,2026-06-25 16:00:25,0,11.48,1.12,26-Jun-2025,26-May-2026,2.8748826046123344,-20.251937984496124,,,SUN PHARMACEUTICAL INDUSTRIES LIMITED,-0.69
0,ADANIPORTSEQN,-18.3,ADANIPORTS,EQ,N,1795.0,1850390,1813.3,1831.4,1790.9,1813.3,3349279915.6,1857.8,1290.5,1320515723710.89,2026-06-25 16:00:25,0,25.59,-0.89,26-Jun-2025,26-May-2026,3.3803423404026267,-39.09337466098412,,,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,-1.01
0,TATACONSUMEQN,33.4,TATACONSUM,EQ,N,1131.5,2959240,1104.9,1135.3,1099.8,1098.1,3318521328.4,1282.7,1007.2,734757220586.07,2026-06-25 16:00:25,0,-1.21,-4.72,26-Jun-2025,26-May-2026,11.787635456459032,-12.341143764892772,,,TATA CONSUMER PRODUCTS LIMITED,3.04
0,ITCEQN,-0.35,ITC,EQ,N,290.0,11230239,290.35,292.25,289.2,290.35,3264181267.74,427.0,275.05,2787343843063.51,2026-06-25 16:00:25,0,-31.0,-3.86,26-Jun-2025,26-May-2026,32.08430913348946,-5.435375386293401,,,ITC LIMITED,-0.12
0,APOLLOHOSPEQN,11.5,APOLLOHOSP,EQ,N,8585.0,378450,8575.5,8693.5,8535.5,8573.5,3259620126.0,8693.5,6696.5,880936915522.29,2026-06-25 16:00:25,0,20.89,3.95,26-Jun-2025,26-May-2026,1.2480588945764077,-28.201299186142016,,,APOLLO HOSPITALS ENTERPRISE LIMITED,0.13
0,TITANEQN,-33.8,TITAN,EQ,N,4290.0,754050,4335.0,4335.0,4225.0,4323.8,3222342189.0,4605.0,3303.1,1765279700131.15,2026-06-25 16:00:25,0,16.11,4.48,26-Jun-2025,26-May-2026,6.840390879478828,-29.877993400139264,,,TITAN COMPANY LIMITED,-0.78
0,COALINDIAEQN,-6.1,COALINDIA,EQ,N,435.65,7046971,442.55,442.85,432.0,441.75,3063670642.25,491.25,368.65,986328364622.29,2026-06-25 16:00:25,0,10.53,-4.91,26-Jun-2025,26-May-2026,11.318066157760814,-18.174420181744203,,,COAL INDIA LIMITED,-1.38
0,NESTLEINDEQN,27.2,NESTLEIND,EQ,N,1409.8,1968226,1392.0,1410.0,1383.4,1382.6,2755772269.38,1498.1,1084.7,1007973907681.37,2026-06-25 16:00:25,0,15.97,-1.32,26-Jun-2025,26-May-2026,5.894132567919365,-29.971420669309488,,,NESTLE INDIA LIMITED,1.97
0,GRASIMEQN,2.0,GRASIM,EQ,N,3129.9,785517,3131.9,3156.0,3115.1,3127.9,2463876187.71,3200.0,2502.5,1188227408434.72,2026-06-25 16:00:25,0,8.55,-1.11,26-Jun-2025,26-May-2026,2.190625,-25.070929070929072,,,GRASIM INDUSTRIES LIMITED,0.06
0,DRREDDYEQN,21.1,DRREDDY,EQ,N,1349.5,1699744,1331.9,1363.0,1331.9,1328.4,2297322998.08,1375.9,1148.4,820086663082.31,2026-06-25 16:00:25,0,2.12,1.63,26-Jun-2025,26-May-2026,1.9187440947743295,-17.511320097526994,,,DR. REDDY'S LABORATORIES LIMITED,1.59
0,JSWSTEELEQN,0.1,JSWSTEEL,EQ,N,1231.3,1706161,1224.7,1238.6,1224.1,1231.2,2101700304.63,1328.0,1008.0,1151211005244.02,2026-06-25 16:00:25,0,19.25,-4.82,26-Jun-2025,26-May-2026,7.281626506024097,-22.15277777777778,,,JSW STEEL LIMITED,0.01
0,JIOFINEQN,0.13,JIOFIN,EQ,N,239.0,8663156,240.05,241.93,238.5,238.87,2082536070.84,338.6,223.3,812378399368.55,2026-06-25 16:00:25,0,-23.52,-0.69,26-Jun-2025,26-May-2026,29.41523922031896,-7.0309001343484105,,,JIO FINANCIAL SERVICES LIMITED,0.05
0,BAJAJFINSVEQN,-13.6,BAJAJFINSV,EQ,N,1766.9,1108117,1790.0,1793.0,1760.8,1780.5,1965079281.95,2195.0,1597.0,1016953033857.47,2026-06-25 16:00:25,0,-13.96,-1.88,26-Jun-2025,26-May-2026,19.503416856492027,-10.638697557921102,,,BAJAJ FINSERV LIMITED,-0.76
0,CIPLAEQN,1.3,CIPLA,EQ,N,1439.2,1217683,1448.0,1453.0,1431.0,1437.9,1758029831.25,1673.0,1165.7,807480869834.35,2026-06-25 16:00:25,0,-4.93,1.53,26-Jun-2025,26-May-2026,13.97489539748954,-23.46229733207515,,,CIPLA LIMITED,0.09
0,SBILIFEEQN,-25.7,SBILIFE,EQ,N,1742.0,933399,1767.7,1779.0,1740.0,1767.7,1632664194.84,2132.0,1700.4,780361945257.03,2026-06-25 16:00:25,0,-6.38,-7.5,26-Jun-2025,26-May-2026,18.29268292682927,-2.4464831804281344,,,SBI LIFE INSURANCE COMPANY LIMITED,-1.45
0,HDFCLIFEEQN,-6.95,HDFCLIFE,EQ,N,584.8,1537033,595.0,597.15,583.1,591.75,907725578.81,820.75,543.0,627200246933.81,2026-06-25 16:00:25,0,-26.85,-5.5,26-Jun-2025,26-May-2026,28.748096253426745,-7.697974217311234,,,HDFC LIFE INSURANCE COMPANY LIMITED,-1.17
